,Team,TruePer,ELOPer
0,Andorra,0.42735042735042733,0.3504273504273504
1,Arabian Gulf,0.5365853658536586,0.6097560975609756
2,Argentina,0.5618811881188119,0.5074257425742574
3,Australia,0.5529411764705883,0.5109243697478991
4,Austria,0.3434343434343434,0.2828282828282828
5,Bahamas,0.4375,0.3125
6,Barbados,0.3902439024390244,0.34146341463414637
7,Belgium,0.4847328244274809,0.45038167938931295
8,Benin,0.22580645161290322,0.22580645161290322
9,Bermuda,0.6274509803921569,0.7254901960784313
10,Bosnia & Her,0.4177215189873418,0.43037974683544306
11,Botswana,0.3877551020408163,0.2857142857142857
12,Brazil,0.4166666666666667,0.3076923076923077
13,Britain,0.5454545454545454,0.5454545454545454
14,Bulgaria,0.4,0.35714285714285715
15,Burkina Faso,0.71875,0.78125
16,C Taipai,0.46078431372549017,0.4117647058823529
17,Canada,0.4493927125506073,0.44129554655870445
18,Cayman Is,0.7272727272727273,0.7575757575757576
19,Chile,0.4076086956521739,0.40217391304347827
20,China,0.5416666666666666,0.5416666666666666
21,Colombia,0.484375,0.53125
22,Costa Rica,0.38235294117647056,0.38235294117647056
23,Croatia,0.6153846153846154,0.6752136752136753
24,Cyprus,0.7083333333333334,0.8333333333333334
25,Czechia,0.48314606741573035,0.4419475655430712
26,Denmark,0.38421052631578945,0.3368421052631579
27,East Germany,0.28205128205128205,0.10256410256410256
28,England,0.6116642958748222,0.6102418207681366
29,Fiji,0.5709459459459459,0.6047297297297297
30,Finland,0.29333333333333333,0.16
31,France,0.5848806366047745,0.5941644562334217
32,Georgia,0.7029702970297029,0.693069306930693
33,Germany,0.5026178010471204,0.4712041884816754
34,Ghana,0.42105263157894735,0.3157894736842105
35,Greece,0.4838709677419355,0.7419354838709677
36,Guyana,0.5,0.4411764705882353
37,Hong Kong,0.5876288659793815,0.6597938144329897
38,Hungary,0.39622641509433965,0.4339622641509434
39,India,0.2978723404255319,0.23404255319148937
40,Ireland,0.515695067264574,0.4200298953662182
41,Israel,0.49504950495049505,0.5247524752475248
42,Italy,0.4304932735426009,0.3901345291479821
43,Ivory Coast,0.5074626865671642,0.373134328358209
44,Jamaica,0.3225806451612903,0.1935483870967742
45,Japan,0.5613382899628253,0.5315985130111525
46,Kazakhstan,0.49206349206349204,0.5555555555555556
47,Kenya,0.5630252100840336,0.5630252100840336
48,Korea,0.5743243243243243,0.6081081081081081
49,Latvia,0.5096153846153846,0.49038461538461536
50,Lions,0.43243243243243246,0.08108108108108109
51,Lithuania,0.5769230769230769,0.6346153846153846
52,Luxembourg,0.4491525423728814,0.4322033898305085
53,Madagascar,0.5306122448979592,0.42857142857142855
54,Malaysia,0.34375,0.171875
55,Mali,0.6285714285714286,0.6857142857142857
56,Malta,0.55,0.525
57,Mauritius,0.5,0.5294117647058824
58,Mexico,0.5161290322580645,0.5161290322580645
59,Moldova,0.5360824742268041,0.6082474226804123
60,Monaco,0.375,0.53125
61,Morocco,0.5519125683060109,0.5081967213114754
62,Namibia,0.5945945945945946,0.6824324324324325
63,Netherlands,0.49295774647887325,0.43661971830985913
64,New Zealand,0.8116438356164384,0.9041095890410958
65,Niger,0.7272727272727273,0.8484848484848485
66,Nigeria,0.5294117647058824,0.5294117647058824
67,Norway,0.32673267326732675,0.2871287128712871
68,PNG,0.6341463414634146,0.7073170731707317
69,Paraguay,0.26495726495726496,0.1794871794871795
70,Peru,0.390625,0.328125
71,Philippines,0.5833333333333334,0.5833333333333334
72,Poland,0.5546875,0.58984375
73,Portugal,0.47368421052631576,0.3609022556390977
74,Romania,0.6070588235294118,0.6611764705882353
75,Russia,0.5677083333333334,0.53125
76,Samoa,0.4808510638297872,0.42127659574468085
77,Scotland,0.4628224582701062,0.3899848254931715
78,Senegal,0.5102040816326531,0.5918367346938775
79,Serbia & Mon,0.4064516129032258,0.33548387096774196
80,Singapore,0.4095238095238095,0.3238095238095238
81,Slovenia,0.5454545454545454,0.6161616161616161
82,South Africa,0.6687116564417178,0.6768916155419223
83,Soviet Union,0.7105263157894737,0.7763157894736842
84,Spain,0.5107033639143731,0.5045871559633027
85,Sri Lanka,0.4818181818181818,0.43636363636363634
86,Sweden,0.5,0.49047619047619045
87,Switzerland,0.48344370860927155,0.44370860927152317
88,Thailand,0.5413533834586466,0.5413533834586466
89,Togo,0.34285714285714286,0.37142857142857144
90,Tonga,0.4356060606060606,0.29924242424242425
91,Trinidad & T,0.6444444444444445,0.7777777777777778
92,Tunisia,0.4557823129251701,0.38095238095238093
93,USA,0.42213114754098363,0.30327868852459017
94,Uganda,0.43373493975903615,0.3253012048192771
95,Ukraine,0.4957983193277311,0.47058823529411764
96,Uruguay,0.532,0.512
97,Venezuela,0.4745762711864407,0.4576271186440678
98,Wales,0.5758865248226951,0.5645390070921986
99,West Germany,0.5193798449612403,0.5426356589147286
100,Zambia,0.3673469387755102,0.32653061224489793
101,Zimbabwe,0.4178082191780822,0.3835616438356164
